title	score	num_comm	created	content
Each year, millions of Americans fail to appear in court for low-level offenses, & arrest warrants are issued. Text message reminders and a redesigned summons form reduced NYC failure to appear by 13-21% and lead to 30,000 fewer arrest warrants over a 3-year period.	56482	1085	2020-10-19 23:37:38	
In 2009, Colorado started a program to offer long-acting reversible contraceptives (e.g. IUDs) to low-income women. The initiative reduced births by approximately 20% among 15–19 year olds who lived near the clinics that were funded to offer IUDs.	49923	1546	2020-10-19 08:45:52	
New study shows the best way to express gratitude: People who help you love to hear how their kind actions met your needs. They are less impressed when you acknowledge how costly their action was.	48816	595	2020-10-18 20:17:51	
First-of-its-kind global survey shows the initial phase of the COVID-19 lockdown dramatically altered our personal habits. Overall, healthy eating increased because we ate out less frequently. However, we snacked more. We got less exercise. We went to bed later and slept more poorly	47418	1647	2020-10-23 11:46:31	
Amid pandemic, U.S. has seen 300,000 ‘excess deaths,’ with highest rates among people of color	45649	1979	2020-10-20 22:59:36	
Achieving universal mask use (95% mask use in public) could save an additional 129,574 lives in the US from September 22, 2020 through the end of February 2021, or an additional 95,814 lives assuming a lesser adoption of mask wearing (85%).	42452	2143	2020-10-24 05:35:06	
Researchers have discovered a new mechanism by which clumps of tau protein are created in the brain, killing brain cells and causing Alzheimer's disease. Getting to grips with mechanisms like this may lead to breakthrough treatments.	40001	396	2020-10-24 19:19:54	
71.5% of people reported that they would be very or somewhat likely to take a COVID-19 vaccine (n=13,426 from 19 countries), from almost 90% in China to less than 55% in Russia. Those reporting higher levels of trust in information from government sources were more likely to accept a vaccine.	37034	2514	2020-10-21 14:13:03	
"A new electron microscope provides ""unprecedented structural detail,"" allowing scientists to ""visualize individual atoms in a protein, see density for hydrogen atoms, and image single-atom chemical modifications."""	30859	709	2020-10-22 03:07:02	
Humans are born with brains ‘prewired’ to see words, study finds. Brain scans of newborns showed a part of the visual cortex was connected to the language network of the brain, even before any exposure to language.	30437	698	2020-10-22 18:56:48	
People who take microdoses of psychedelic drugs consistently report that it results in improved mood and creativity, while having few side effects, according to new research published in the Journal of Psychopharmacology.	30106	1338	2020-10-22 11:54:55	
Anti-vaxxers have rebranded: Vaccine opponents have shifted their messaging toward the promotion of civil liberties. Between 2009 to 2019, conversations around civil liberties in the anti-vaccine community had increased, with Facebook pages framing vaccines as an issue of values and civil rights.	28168	2086	2020-10-22 16:26:42	
Maya people at the ancient city of Tikal in Guatemala used a mineral called zeolite to decontaminate drinking water in one of their large reservoirs. It's the oldest known example of water purification in the Western Hemisphere.	27452	420	2020-10-23 19:06:45	
Study: Men are more likely than women to perceive face masks as infringing on their freedom	27345	4028	2020-10-25 02:24:31	
Mouthwashes, oral rinses may inactivate human coronaviruses. Several of the nasal and oral rinses had a strong ability to neutralize human coronavirus, which suggests that these products may have the potential to reduce the amount of virus spread by people who are COVID-19-positive	11287	545	2020-10-20 14:31:03	
Growth rate of adult trees is linked to fungal networks colonizing their roots.When they colonize the roots of a tree, fungal networks act as a sort of highway, allowing water, nutrients and even the compounds that send defence signals against insect attacks to flow back and forth among the trees.	7349	201	2020-10-25 00:39:19	
Superwhite paint can cool buildings even in hot sunlight	3342	288	2020-10-22 04:23:24	
Low doses of LSD (5 - 10 micrograms) demonstrated selective, beneficial effects on mood and cognition in a placebo-controlled, crossover trial (N=24)	3204	262	2020-10-20 18:28:17	
Using artificial intelligence and machine learning, scientists have developed a sensor that can neutralise a star's 'twinkle' caused by heat variations in the Earth's atmosphere. This will make the discovery and study of planets in distant solar systems easier from optical telescopes on Earth.	2913	86	2020-10-21 19:12:12	
Down syndrome associated with 10-fold increased risk for COVID-19 mortality	5406	130	2020-10-25 03:01:59	
Higher consumption of green tea and coffee was associated with reduced all-cause mortality: their combined effect appeared to be additive in patients with type 2 diabetes (n=4,923).	1583	183	2020-10-22 16:38:28	
Newborn brains lack maturity to process emotions as adults do, study finds. Brain scans reveal humans aren’t born with brain circuitry that attaches emotions to the things they see or hear in their environment.	1394	107	2020-10-19 22:06:34	
Neuroscientists discover a molecular mechanism that allows memories to form	1371	110	2020-10-19 05:44:58	
Study: Cannabis Strain Names Give False Sense of Diversity	893	172	2020-10-19 02:09:07	
The link between education and support for climate change is weaker among right-wing ideologists in developed countries	743	81	2020-10-22 04:09:16	
Cannabis reduces OCD symptoms by half in the short-term: People with obsessive-compulsive disorder, or OCD, report that the severity of their symptoms was reduced by about half within four hours of smoking cannabis, according to a recent study	603	112	2020-10-21 08:36:45	
Voyager Spacecraft Detect an Increase in The Density of Space Outside The Solar System	438	77	2020-10-19 19:07:06	
Fewer than 4% of people in Wuhan have COVID-19 antibodies, study finds	403	37	2020-10-24 03:53:37	
Extroverts are least likely to follow official guidance to stay at home during COVID-19 lockdowns, finds new study of over 101,000 people in 55 countries. However, people with agreeableness, neuroticism or conscientiousness personality traits tend to stay at home when advised to do so.	385	59	2020-10-19 14:12:19	
Virus-mimicking drug helps immune system target cunning cancer cells: Researchers have found that a drug that activates the body's natural defenses by behaving like a virus may also make certain stealthy melanoma tumors visible to the immune system	366	9	2020-10-19 06:13:58	
Astrophysicists have devised a way to use the shadow of a supermassive black hole to test and rule out novel theories of gravity. The shape of the first black hole image provides the most precise match yet to certain predictions from general relativity, researchers report.	360	7	2020-10-21 06:36:07	
The biggest mass extinction event in Earth’s history was caused by a volcanic eruption in Siberia that spewed carbon dioxide (CO2) into the atmosphere. The Permian–Triassic extinction event, also known as the ‘Great Dying’, wiped out 95% of marine species and 70% of terrestrial species at the time.	363	40	2020-10-19 20:58:21	
New algorithm maps and prioritizes most benifitial targets to restore earth's ecosystems. To mitigate climate change and biodiversity loss.	348	8	2020-10-23 15:11:35	
Survey experiments show that white Americans become substantially less supportive of gun availability when they are primed to think of black men rather than whites and women.	327	53	2020-10-20 17:54:13	
Glaciers are stable or growing in a region north-west of the Tibetan Plateau because of low temperature sensitivities and an increase in snowfall caused by increases in evapotranspiration from irrigated agriculture.	278	17	2020-10-24 05:08:53	
Scientists use 3D printing to reinforce concrete with polymer lattices, creating more durable building materials with a lower carbon footprint	274	13	2020-10-19 00:55:32	
A new OLED display can achieve more than 10,000 pixels per inch, which might lead to advanced virtual reality and augmented reality displays, researchers say. In the future, metasurfaces might also find use trapping light in applications such as solar cells and light sensors.	270	16	2020-10-24 09:17:51	
A team based in Japan has proposed a method to use time crystals to simulate massive networks with very little computing power. The quantum nature of time crystals can be used to simulate large, specialized networks, such as communication systems or artificial intelligence.	264	59	2020-10-23 19:34:46	
Premature infants born earlier than 28 weeks gestation who experience fewer needle pokes while receiving life-saving care in the neonatal intensive care unit may have better growth of a part of the brain called the thalamus.	202	22	2020-10-22 22:15:55	
Study: Social isolation exacerbates the situation of school bullying victims. The results emphasize that fostering a friendly atmosphere among children in the classroom, as well as promoting the development of social, moral and emotional competences, are key to preventing school bullying.	204	7	2020-10-21 17:57:33	
Mental health problems such as PTSD anxiety and depression are common among healthcare staff during and immediately after pandemics. Almost a quarter of health-care workers (23.4 per cent) experienced PTSD symptoms during the most intense 'acute' phase of previous pandemic outbreaks	199	5	2020-10-19 17:13:35	
How your behaviour in childhood predicts whether you’ll be in a relationship as an adult: A new study suggests that the seeds of future partnering patterns are planted early and are visible even before adolescence. This has important implications for children with behavioural difficulties	192	31	2020-10-22 18:51:26	
Scientists create an artificial intelligence model of cancer cells, allowing them to predict if a particular treatment will work and know the reasons why it does or does not	188	5	2020-10-23 18:09:40	
Near-uncrushable beetle's exoskeleton could inspire tough structures	175	17	2020-10-22 04:25:36	
It is possible to predict future onset of Alzheimer's disease using language samples obtained from cognitively normal individuals. Significant predictive power was obtained, with AUC of 0.74 and accuracy of 0.70. The mean time to diagnosis of mild AD was 7.59 years.	156	9	2020-10-24 14:06:35	
A blend of racial prejudice, poor coping and partisan media viewing were found in Americans who stigmatized people of Asian descent during the COVID-19 pandemic, according to a new study.	146	35	2020-10-20 15:58:11	
Water could be extracted from desert air using heat from sunlight	150	39	2020-10-22 04:27:50	
Air pollution was significantly associated with an increased risk of hospital admissions for several neurological disorders, including Parkinson’s disease, Alzheimer’s disease, and other dementias, in a long-term study of more than 63 million older U.S. adults, led by researchers at Harvard.	146	6	2020-10-20 20:20:06	
"How early Homo sapiens responded to climate change reveals a ""hallmark"" of our species. Analysis of a drilled core representing 1 million years of environmental history suggests a major transition in ancient tool tech was prompted by adaptation to environmental threats."	142	11	2020-10-22 18:01:34	
Researchers have found that dairy was being produced as far back as 2500 BCE by using molecular analysis techniques to study residues from ancient pottery. It is the earliest known dairy production in India and could have helped produce the type of food surplus needed for trade.	155	2	2020-10-24 22:41:17	
"The human body contains ""previously unnoticed"" salivary glands behind the nose, near the center of the head."	132	18	2020-10-20 22:53:00	
"Your ""cough cloud"" is 7 to 23 times larger when you're not wearing a mask"	125	7	2020-10-20 18:57:24	
A potential therapy for treating COVID-19 has been identified after researchers blocked the virus from the receptor neuropilin-1 (NRP1), a previously unknown avenue for COVID-19 to bind and enter cells.	116	7	2020-10-21 12:35:28	
The arthritis drug tocilizumab doesn’t appear to help fight COVID-19	120	10	2020-10-24 19:38:21	
Extrachromosomal DNA loops enable tumor cells to resist anti-cancer drugs	117	4	2020-10-21 04:54:08	
Men who feel their partners have less power in their relationships than they do report lower relationship quality	108	17	2020-10-21 00:34:36	
A new study failed to replicate Carol's Dweck's pillar work on fixed vs growth mindset in college students, even when comparing at-risk populations.	110	25	2020-10-19 16:37:58	
Plastic baby bottles shed millions of microplastics when shaken	102	34	2020-10-22 04:15:00	
Math ability might have deeper, biological roots - Scientists in Germany argue that about one-fifth of math ability in children could be explained by differences in grey matter volume. Those differences were tied to variations in a gene called ROBO1. (n=77 and n=101)	101	23	2020-10-22 22:21:54	
Scientists mapped genome of a saber-toothed cat species named Homotherium for the first time. The cat’s genes reveal that it was a highly skilled pack hunter that could pursue its prey over vast distances. Homotheriums lived on five continents and roamed for millions of years before it went extinct.	100	9	2020-10-20 22:14:59	
Residents of U.S. counties with more social connections (measured as Facebook friends) to China or Italy - the first countries to report major COVID-19 outbreaks - were more likely to adhere to social distancing restrictions at the onset of the pandemic, according to a new study.	103	10	2020-10-24 14:47:28	
Responses to COVID-19 Stay-Home Orders. Americans strongly reduced their visits to grocery stores, pharmacies, and transit stations following stay-at-home orders from mayors and governors earlier this year, but did not reduce their visits to parks and beaches	96	20	2020-10-22 14:29:37	
High levels of microplastics released from infant feeding bottles during formula preparation.	97	19	2020-10-19 19:54:58	
A study of online forums dedicated to infidelity finds that those forums are often used to promote intimate partner surveillance (IPS). Perpetrators share technical strategies, and seek validation of their abuse.	93	27	2020-10-22 17:52:00	
Higher consumption of green tea and coffee is associated with reduced all-cause mortality in those with diabetes.	91	29	2020-10-22 07:45:07	
Binge Drinking Causes Liver Damage by Reducing Cellular Levels of NAD+	82	12	2020-10-21 05:10:36	
Researchers find that the brain overvalues the ending of experience rather than accurately summarizing the value of the total experience — a cognitive bias that worsens decision-making.	82	10	2020-10-19 21:49:59	
