title	score	num_comm	created	content
Research finds that crows know what they know and can ponder the content of their own minds, a manifestation of higher intelligence and analytical thought long believed the sole province of humans and a few other higher mammals.	91425	2922	2020-09-25 06:47:50	
Human 'microevolution' sees more people born without wisdom teeth and an extra artery	84084	4522	2020-10-09 13:39:36	
[Megathread] World's most prestigious scientific publications issue unprecedented critiques of the Trump administration	79698	4668	2020-10-16 01:21:36	"We have received numerous submissions concerning these editorials and have determined they warrant a megathread. Please keep all discussion on the subject to this post. We will update it as more coverage develops.

**Journal Statements:**

* [Reviving the US CDC](https://linkinghub.elsevier.com/retrieve/pii/S0140673620311405), *The Lancet*
* [Trump versus Biden: a fight for the health of a nation](https://linkinghub.elsevier.com/retrieve/pii/S0140673620317864), *The Lancet*
* [Trump lied about science](https://doi.org/10.1126/science.abe7391), *Science*
* [Scientific American Endorses Joe Biden](https://www.scientificamerican.com/article/scientific-american-endorses-joe-biden1/), *Scientific American*
* [Dying in a Leadership Vacuum](https://doi.org/10.1056/NEJMe2029812), *The New England Journal of Medicine*
* [Why Nature supports Joe Biden for US president](https://doi.org/10.1038/d41586-020-02852-x), *Nature*
* [Not throwing away our shot](https://science.sciencemag.org/content/370/6514/266), *Science*

**Press Coverage:**

* [Lancet editorial blasts Trump’s 'inconsistent and incoherent' coronavirus response](https://www.washingtonpost.com/health/2020/05/15/lancet-editorial-trump-administration-coronavirus-response/), *The Washington Post*
* [America's Top Science Journal Has Had It With Trump](https://www.wired.com/story/americas-top-science-journal-has-had-it-with-trump/), *WIRED*
* [The New England Journal of Medicine avoided politics for 208 years. Now it’s urging voters to oust Trump](https://www.washingtonpost.com/nation/2020/10/08/science-journal-endorsement-trump/), *The Washington Post*
* [In a First, New England Journal of Medicine Joins Never-Trumpers](https://www.nytimes.com/2020/10/07/health/new-england-journal-trump.html), *The New York Times*
* [Three of the Most Prestigious Scientific Journals Have Condemned Trump’s Handling of COVID-19](https://slate.com/technology/2020/10/science-nejm-nature-editorials-trump-covid19-response.html), *Slate*
* [Science journal editor calls out Trump administration](https://www.nbcnews.com/science/science-news/science-journal-editor-calls-out-trump-administration-n1243552), *NBC News*

**As always, we welcome critical comments but will still enforce relevant, respectful, and on-topic discussion.**"
Analysis of Trump's tweets shows he's sleeping less, and getting angrier	72122	2804	2020-10-01 06:33:28	
There has been a decline in the quality of democracy globally since 2006. Democratic backsliding typically occurs when populist executives gradually eviscerate institutional checks, political opposition, independent media, and other forces of scrutiny and resistance in civil society.	66492	2433	2020-09-24 06:46:59	
Face masks unlikely to cause over-exposure to CO2, even in patients with lung disease	63106	1619	2020-10-03 14:24:34	
"""Slow Blinking"" really does help convince cats that you want to be friends"	62584	1689	2020-10-09 19:51:46	
Using weed during pregnancy linked to psychotic-like behaviors in children, study finds (study of 11,489 Children)	59447	2938	2020-09-23 19:38:47	
Each year, millions of Americans fail to appear in court for low-level offenses, & arrest warrants are issued. Text message reminders and a redesigned summons form reduced NYC failure to appear by 13-21% and lead to 30,000 fewer arrest warrants over a 3-year period.	56487	1085	2020-10-19 23:37:38	
New research could help millions who suffer from ‘ringing in the ears’: Researchers show that combining sound and electrical stimulation of the tongue can significantly reduce tinnitus, commonly described as “ringing in the ears”; therapeutic effects can sustain for up to 12 months post-treatment	51444	2047	2020-10-16 11:38:20	
First Confirmed Cases of COVID-19 Reinfections in US	50775	2532	2020-10-13 03:51:38	
We Now Have Proof a Supernova Exploded Perilously Close to Earth 2.5 Million Years Ago	50506	1832	2020-10-06 01:43:49	
In 2009, Colorado started a program to offer long-acting reversible contraceptives (e.g. IUDs) to low-income women. The initiative reduced births by approximately 20% among 15–19 year olds who lived near the clinics that were funded to offer IUDs.	49915	1546	2020-10-19 08:45:52	
Dutch woman dies after catching COVID-19 twice, the first reported reinfection death, raising serious questions about how long immunity and antibodies can last. Her immune system was compromised. The case was published in the journal Clinical Infectious Diseases.	49820	1622	2020-10-14 16:26:34	
On average, the number of excess COVID-19 cases per 100,000 residents in US states reopening without masks is 10 times the number in states reopening with masks after 8 weeks. 50,000 excess deaths were prevented within 6 weeks in 13 states that implemented mask mandates prior to reopening.	49582	1799	2020-10-09 01:48:02	
New study shows the best way to express gratitude: People who help you love to hear how their kind actions met your needs. They are less impressed when you acknowledge how costly their action was.	48823	595	2020-10-18 20:17:51	
SARS-CoV-2 can survive for up to 9 hours on human skin compared to nearly 2 hours for influenza A virus. Both were completely inactivated on human skin within 15 seconds by ethanol. The 9-h survival of SARS-CoV-2 on human skin may increase risk of contact transmission and supports hand hygiene.	48297	1113	2020-10-05 14:16:30	
People’s attachment to the wilderness is linked to the fulfillment of basic psychological needs, study finds	47158	950	2020-10-14 02:03:07	
The prevalence of dementia in countries where more than one language is spoken is 50% lower than in those regions where the population uses only one language to communicate. Active bilingualism is an important predictor of delay in the onset of symptoms of mild cognitive impairment.	46462	631	2020-10-02 13:49:29	
A new study detected an immediate and significant reversal in SARS-CoV-2 epidemic suppression after relaxation of social distancing measures across the US. Premature relaxation of social distancing measures undermined the country’s ability to control the disease burden associated with COVID-19.	46320	2373	2020-10-06 14:36:24	
Amid pandemic, U.S. has seen 300,000 ‘excess deaths,’ with highest rates among people of color	45640	1979	2020-10-20 22:59:36	
Children whose outdoor play areas were transformed from gravel yards to mini-forests showed improved immune systems within a month, research has shown.	45323	876	2020-10-15 12:23:27	
Well preserved 2,000-year-old brain cells found in Vesuvius victim. The extreme heat of the eruption and the rapid cooling that followed essentially turned the brain material to a glassy material, freezing the neuronal structures and leaving them intact	44175	502	2020-10-08 09:51:28	
New studies suggest people with blood type O may have a lower risk of COVID-19 infection and reduced likelihood of severe outcomes, including organ complications, if they do get sick. Meanwhile, individuals with type A and AB may have increased risk of severe clinical outcomes.	40944	1547	2020-10-15 03:35:56	
4 studies confirm: conservatives in the US are more likely than liberals to endorse conspiracy theories and espouse conspiratorial worldviews, plus extreme conservatives were significantly more likely to engage in conspiratorial thinking than extreme liberals	40659	2921	2020-10-17 21:19:12	
